ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
RCEL,16.76,9.31,5.05,651,70.0,7.60,,,,N,N,N
AHCO,3.36,1.72,6.01,3371,1956.0,5.22,,,,N,N,N
BETR,2.3,1.3,4.84,2710,2081.0,18.05,7,,,N,N,N
PLUG,2.11,0.96,7.95,92373,96109.0,2.11,86,2026-08-10,-1,N,N,N
MCO,1.4,0.59,9.7,6184,10497.0,478.14,53,2026-10-20,70,N,N,N
ACM,1.32,0.72,5.21,1905,2644.0,73.30,25,2026-08-10,-1,N,N,N
SPG,1.26,0.56,8.48,4678,8342.0,220.55,40,2026-08-10,-1,N,N,N
BMRN,1.25,0.76,4.19,5110,6718.0,68.88,57,2026-08-06,-5,N,N,N
SE,1.24,0.54,8.75,35016,64410.0,114.80,,,,N,N,N
TTD,1.13,0.8,3.11,94446,118535.0,13.39,61,2026-11-04,85,N,N,N
AMRZ,1.04,0.63,4.23,1398,2229.0,46.29,,,,N,N,N
KSPI,0.85,0.52,4.09,1662,3167.0,94.00,,,,N,N,N
